1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,label
AAAS,ABI2,ACTA1,ACTA2,ACTB,ACTC1,ACTG1,ACTG2,ACTN4,ANP32E,ARMC6,ATXN10,BAK1,BOP1,CAPZB,CD2AP,CHCHD3,CHD4,CNOT1,CYFIP1,DBN1,DHX9,DSTN,EPAS1,FANCI,FLNA,FLNB,GTF2I,GYS1,HNRNPA3,HNRNPH1,HNRNPM,HNRNPU,INF2,IPO4,IPO7,IQGAP1,LRPPRC,MRPS17,MYH10,MYH9,MYL6,NCKAP1,NDUFA10,NDUFC1,NDUFS1,NDUFS2,NUBPL,OXSM,PCBP2,PDLIM1,PML,PPM1F,PRC1,PRDX1,RAC1,RNH1,RPA1,RPN1,RRP1,RUFY1,SAFB2,SAMM50,SART3,SLC2A1,SLC2A3,SLC3A2,SLC7A11,SMPD4,SQSTM1,STRAP,TARDBP,TLN1,TRIP6,WASF2,ZHX2,label
-0.330697755,-0.329764563,-0.433632966,-0.383402855,6.463675314,-0.43322723,5.055771568,-0.419635075,0.322050241,0.073658692,-0.369810701,-0.203661829,-0.396183538,-0.323069919,-0.007894234,-0.173150486,-0.350254228,-0.334998556,-0.248941961,-0.177775876,-0.066523078,0.055481722,0.257051342,-0.225165835,-0.394560594,0.076498844,-0.107421262,-0.380806145,-0.282739766,0.204427389,0.196272096,-0.00740735,1.138188104,-0.326031792,-0.433470671,0.001884003,0.102790534,-0.112046652,-0.413630183,-0.268701302,0.910691957,0.357633284,-0.101051208,-0.264035339,-0.321365828,-0.262655836,-0.142801437,-0.411195768,-0.403162196,0.004196698,0.042295303,-0.218106029,-0.37386806,-0.433714113,-0.138297768,0.140807992,-0.19960447,-0.244154277,0.242201406,-0.352526349,-0.278195523,-0.302296239,-0.27206891,-0.336662074,-0.078289421,-0.363359499,-0.156880474,-0.352769791,-0.317633058,-0.215022436,-0.151565333,-0.242166171,0.041280964,-0.281725426,-0.169295994,-0.367782021,1
-0.214503844,-0.29700757,-0.336148951,-0.185567361,7.757149581,-0.336420178,2.835031867,-0.111725933,0.095457247,0.125427781,-0.256357491,-0.196857167,-0.269511979,-0.214402134,-0.066736229,-0.298363703,-0.280157621,-0.284632859,-0.258645965,-0.212978195,-0.099385125,-0.03864733,-0.085552571,-0.28863345,-0.290294713,0.992556012,-0.235778176,-0.322180784,-0.161919797,0.01661508,-0.126592539,0.026124961,0.685205476,-0.25440805,-0.336199806,-0.241507837,-0.1394758,-0.051191558,-0.322791044,-0.051225461,0.85155211,0.919375699,-0.143272971,-0.256916896,-0.275021268,-0.277021564,-0.12793172,-0.318553129,-0.32468963,-0.110115526,-0.237456391,-0.285005795,-0.323536917,-0.336115048,-0.099554642,-0.01413523,-0.233947397,-0.122591947,0.065198535,-0.230218032,-0.291599991,-0.275224688,-0.249983667,-0.25778143,-0.214808974,-0.333962187,-0.212605258,-0.327401895,-0.202078278,-0.259985146,-0.255899796,-0.207909648,0.07392864,-0.23816836,-0.241796016,-0.292532332,0
-0.314650046,-0.302727983,-0.38192915,-0.170296415,5.605975494,-0.38192915,6.04876737,-0.31903221,0.07961581,-0.231066716,-0.331469822,-0.220369081,-0.358729459,-0.314005611,0.020069937,-0.230228949,-0.274437249,-0.288357063,-0.236608864,-0.129825843,-0.215600255,-0.148256708,0.066533762,-0.136656863,-0.307045703,0.596840028,-0.142263455,-0.34526075,-0.283072689,0.122341908,0.026514296,-0.114101608,0.361492054,-0.316390023,-0.379480294,-0.098892922,-0.067637783,-0.224815688,-0.373358153,-0.2814616,0.988399254,0.919831279,-0.045533633,-0.257488586,-0.278110533,-0.272375054,-0.245888741,-0.059066786,-0.353187311,-0.106883926,0.248973553,-0.21927354,-0.352478431,-0.380124729,-0.014987373,-0.024202806,-0.215020263,-0.25503973,0.36394091,-0.357633918,-0.288034846,-0.308076801,-0.252848648,-0.308979011,-0.29602585,-0.346936283,-0.230293393,-0.360469436,-0.299956909,-0.208704792,-0.22952007,-0.22790898,0.063956019,-0.28487711,-0.167847558,-0.345518524,1
-0.23116187,-0.233974579,-0.275905891,-0.243988622,4.871471855,-0.276005633,6.914576029,-0.267747039,0.101815038,-0.210196214,-0.238722273,-0.173092389,-0.266111279,-0.209717455,-0.133654613,-0.220349895,-0.240617361,-0.250471817,-0.182408242,-0.148875161,-0.101777241,-0.120688223,-0.131959008,-0.221526844,-0.232039595,0.56890432,-0.211692336,-0.262181465,-0.217198065,-0.107721832,-0.080193188,-0.040256705,0.081208451,-0.207243866,-0.27544708,-0.110235317,-0.145882917,-0.156475461,-0.269063627,-0.139339877,0.490347942,0.10015933,-0.1303033,-0.199005221,-0.239659843,-0.239240928,-0.190686783,-0.271297835,-0.265452986,-0.129904334,-0.063536363,-0.252127526,-0.264016708,-0.27417039,-0.117695979,-0.037264461,-0.135789081,-0.147438884,0.112168202,-0.232019646,-0.231381301,-0.250890732,-0.226992677,-0.232578199,-0.115780943,-0.270400162,-0.105028813,-0.258291548,-0.212570061,-0.18651759,-0.201837879,-0.214804269,-0.098366083,-0.201638396,-0.177500961,-0.232538302,1
-0.27433687,-0.262677214,-0.324023975,-0.276693943,6.032751364,-0.324463963,5.60948385,-0.317675591,0.121588594,-0.278422464,-0.287630763,-0.230023891,-0.311578628,-0.249823307,-0.105099005,-0.257051665,-0.289422139,-0.282130926,-0.112987344,-0.072131406,-0.047900692,-0.095639284,-0.116350102,-0.26286578,-0.271571237,1.631341201,0.042642351,-0.295801951,-0.2253726,-0.112453074,-0.077694099,-0.097776364,0.121525738,-0.298567584,-0.322672587,-0.190110783,-0.098530627,-0.163742989,-0.316921328,-0.185145215,0.712491163,0.433570819,-0.179488239,-0.228075377,-0.265694268,-0.219998473,-0.233543787,-0.313621425,-0.304601691,-0.165031523,-0.132818187,-0.276411094,-0.308655857,-0.322955436,-0.105507564,-0.078165514,-0.167545734,-0.201801867,0.076615635,-0.29008212,-0.267202795,-0.266605669,-0.240206448,-0.266605669,-0.185302353,-0.319718388,-0.158086013,-0.313338576,-0.25978587,-0.18668517,-0.214372924,-0.250357577,0.034219742,-0.263557188,-0.106041834,-0.289076435,1
-0.251238346,-0.28118473,-0.337683576,-0.311730043,6.86082835,-0.337783397,4.719112835,-0.336685363,0.240980396,-0.269006534,-0.290468109,-0.225035259,-0.307038442,-0.244151035,-0.079745383,-0.231074447,-0.293862033,-0.270154479,-0.207816088,-0.121370858,-0.034875717,-0.138340476,-0.120222913,-0.241156396,-0.297255957,0.337457665,-0.138190744,-0.311031294,-0.25158772,-0.090176707,-0.098461874,-0.029884653,0.137815101,-0.196336641,-0.335587329,-0.114383368,-0.143980378,-0.177320686,-0.329847605,-0.1923937,0.928299832,0.559011,-0.206817875,-0.230026323,-0.298503723,-0.263316721,-0.221441693,-0.325505379,-0.325106094,-0.064123353,0.293985496,-0.155958932,-0.321213064,-0.335786971,-0.173627299,0.004553689,-0.158853749,-0.236414885,0.067540918,-0.295459174,-0.273947687,-0.290468109,-0.258126014,-0.248093975,0.616707701,-0.308835225,-0.172728907,-0.327701448,-0.260072529,-0.140087348,-0.199780475,-0.247095762,-0.035474645,-0.225833829,-0.221441693,-0.307387817,0
-0.27777729,-0.238472513,-0.346009551,0.237240066,6.376438267,-0.349960825,5.22857241,0.001640162,0.099590161,-0.200353118,-0.28811299,-0.187813022,-0.324776653,-0.29878143,-0.033359806,-0.324984614,-0.285222322,-0.275780857,-0.291419583,-0.257584201,0.055502264,-0.056297991,0.042130321,-0.258312067,-0.300507513,0.635611657,-0.261660252,-0.344179487,-0.296181908,-0.022005093,0.003470225,0.032127359,0.44998497,-0.265195602,-0.351936462,-0.251594901,-0.133181462,-0.239782672,-0.341455188,-0.175044169,1.200955764,0.803332835,-0.240801685,-0.269354838,-0.276487927,-0.273763627,-0.224039965,-0.346092735,-0.343742767,-0.133119074,-0.188873628,-0.278068436,-0.305394615,-0.350959041,-0.191389965,-0.029304552,-0.152667481,-0.203971653,0.102771977,-0.305768946,-0.291440379,-0.251865252,-0.297783213,-0.288320952,-0.269521207,-0.244815347,-0.113092354,-0.341725538,-0.25546299,-0.256544392,-0.230611557,-0.205801717,0.013244429,-0.307973341,-0.216075029,-0.320035124,1
-0.264253174,-0.237599471,-0.3257277,-0.300843048,7.821047524,-0.325491827,2.962466574,-0.321540946,0.104476047,-0.181402614,-0.259977967,-0.180753961,-0.272685651,-0.182965275,-0.057981814,-0.229314415,-0.282710274,-0.184380516,-0.289432668,-0.216488794,-0.045804846,-0.071927834,0.069655224,-0.261894439,-0.301816026,0.814042449,-0.211859777,-0.312961048,-0.169078224,0.104564499,-0.087023737,-0.071279182,0.593707132,-0.202395353,-0.326022542,-0.134080496,-0.211063704,-0.162060988,-0.306592464,-0.178719553,0.40073314,0.328231528,-0.108517708,-0.157019192,-0.239221101,-0.224272619,-0.17989892,-0.312017554,-0.307064211,-0.135702126,-0.198297052,-0.169903781,-0.305265676,-0.326405837,0.161203619,0.147994704,-0.131014141,-0.211152156,0.49464027,-0.228518342,-0.264783889,-0.252754342,-0.240665826,-0.278051773,-0.241579836,-0.310897155,-0.111112316,-0.31523133,-0.231053981,-0.234533115,-0.161294399,-0.167957825,-0.034541887,-0.183938253,-0.279260624,-0.292705413,0
-0.273651587,-0.263098258,-0.338489763,0.528271858,7.641104901,-0.337841752,2.477416286,0.682961452,0.088049898,-0.249082696,-0.295406258,-0.233548935,-0.326029428,-0.279891012,-0.029703043,-0.303534173,-0.303237939,-0.254692623,-0.293203019,-0.224124997,-0.039349156,-0.166970386,0.132077648,-0.251156332,-0.321215629,2.157280107,-0.189928506,-0.330509965,-0.282446029,0.148333479,0.101250817,-0.140198255,0.175827679,-0.25150811,-0.33863788,-0.197778702,-0.07099063,-0.241399131,-0.328899193,-0.236048408,0.679665851,0.495297331,-0.206350968,-0.251193362,-0.293091931,-0.273244266,-0.26944877,-0.327732773,-0.326881101,-0.142142289,-0.192539067,-0.272948032,-0.287222799,-0.338915599,-0.236196525,0.032283882,-0.180337936,-0.272725857,0.062407158,-0.30203449,-0.273114664,-0.25387798,-0.286482214,-0.283945712,-0.281760988,-0.324122423,-0.236029893,-0.336305039,-0.257321699,-0.267430677,-0.244231867,-0.225957944,0.152702927,-0.227642773,-0.179893586,-0.311236252,0
