1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,label
AAAS,ABI2,ACTA1,ACTA2,ACTB,ACTC1,ACTG1,ACTG2,ACTN4,ANP32E,ARMC6,ATXN10,BAK1,BOP1,CAPZB,CD2AP,CHCHD3,CHD4,CNOT1,CYFIP1,DBN1,DHX9,DSTN,EPAS1,FANCI,FLNA,FLNB,GTF2I,GYS1,HNRNPA3,HNRNPH1,HNRNPM,HNRNPU,INF2,IPO4,IPO7,IQGAP1,LRPPRC,MRPS17,MYH10,MYH9,MYL6,NCKAP1,NDUFA10,NDUFC1,NDUFS1,NDUFS2,NUBPL,OXSM,PCBP2,PDLIM1,PML,PPM1F,PRC1,PRDX1,RAC1,RNH1,RPA1,RPN1,RRP1,RUFY1,SAFB2,SAMM50,SART3,SLC2A1,SLC2A3,SLC3A2,SLC7A11,SMPD4,SQSTM1,STRAP,TARDBP,TLN1,TRIP6,WASF2,ZHX2,label
-0.289382151,-0.332446327,-0.353653156,-0.334423896,7.469403158,-0.35378326,3.243649634,-0.351441401,0.854069282,-0.303719529,-0.332472347,-0.271011573,-0.325342689,-0.201146128,-0.076064864,-0.318655382,-0.303719529,-0.293545455,-0.253239469,-0.134168975,-0.247540946,-0.165810086,-0.007630556,0.065669615,-0.260837499,0.891304832,0.146203526,-0.335100433,-0.225553497,-0.109371296,-0.122928055,-0.123188261,0.157054137,-0.136198586,-0.354225611,-0.110047833,0.175841046,-0.186184254,-0.344493888,-0.286233653,0.383251645,1.537735835,-0.226386158,-0.28053513,-0.302106249,-0.305072603,-0.256674195,-0.343505103,-0.339107613,-0.095476269,-0.064745882,-0.1183224,-0.325472793,-0.354095507,-0.084469534,-0.06427751,-0.07788631,-0.25849564,0.114406292,-0.306633842,-0.292244423,-0.305853223,-0.313659418,-0.312904819,-0.188369989,-0.240541392,0.478044873,-0.351051091,-0.29692814,-0.262684965,-0.174084652,-0.257428793,-0.15355436,-0.185247511,-0.204893102,-0.330364675,1
-0.2324438,-0.232545915,-0.257239271,-0.25123303,7.89996014,-0.257332103,3.006256899,-0.256691561,0.287267789,-0.216179605,-0.249636317,-0.20995985,-0.23273158,-0.182490812,-0.060203002,-0.227588678,-0.241142174,-0.186538295,-0.248958642,-0.209932,-0.184059676,-0.19884784,-0.063470694,-0.149730341,-0.238375775,0.24851036,0.351451947,-0.2548999,-0.196833382,-0.060453649,-0.10851286,-0.190966389,-0.003844595,-0.161928488,-0.257248554,-0.195802945,-0.141087667,-0.214332245,-0.251455827,-0.244669796,0.300468523,0.446846279,-0.199126336,-0.210340462,-0.227486562,-0.232499499,-0.215975374,-0.253238205,-0.250926684,-0.145534328,-0.014390329,-0.120005482,-0.239183415,-0.257081456,-0.059367513,-0.045433405,-0.163218855,-0.208855147,-0.007483616,-0.217906283,-0.219085251,-0.226437559,-0.235869307,-0.23481102,-0.047874891,-0.190121616,0.440403727,-0.256329516,-0.231014185,-0.228702664,-0.210331178,-0.182184466,-0.11858515,-0.20121506,-0.211621545,-0.249562051,1
-0.280911035,-0.30506926,-0.353427688,-0.341883792,6.340289707,-0.353490655,5.115566335,-0.342786315,-0.087855122,-0.180772987,-0.261559268,-0.29589711,-0.320831925,0.124342669,-0.070833123,-0.28844605,-0.27068944,-0.176722129,-0.336132834,-0.251148773,-0.268422638,-0.181276721,0.786794368,-0.27469832,-0.28443717,0.149382428,-0.164737467,-0.35109792,-0.288383083,0.110657906,0.078775765,0.186238939,0.306904132,-0.218909821,-0.353217799,-0.237694887,-0.211206894,-0.135625861,-0.333698121,-0.299885001,-0.052614757,1.835399871,-0.322678948,-0.133296093,-0.191918094,-0.268044838,-0.22579418,-0.337266234,-0.337203268,-0.132099725,-0.091633124,-0.241535856,-0.298625667,-0.352483188,0.013815116,0.140588079,-0.130357646,-0.194625662,0.364833499,-0.091486201,-0.299360279,-0.279126978,-0.265085403,-0.306748372,-0.311198019,-0.295834143,-0.039307793,-0.350657153,-0.282653113,-0.285507604,-0.185138679,-0.156341906,-0.256186109,-0.122297908,-0.264056947,-0.330675719,0
-0.294239163,-0.323712379,-0.366728956,-0.360166094,7.888396748,-0.367086931,2.174351519,-0.365774358,0.137835801,-0.26810704,-0.317805804,-0.242690866,-0.264228985,-0.309751382,0.055859689,-0.264228985,-0.272402732,-0.238454837,-0.298654179,-0.227894595,-0.306887588,-0.069729623,0.06439141,-0.291077057,-0.303964131,0.347847383,-0.233383534,-0.362671914,-0.203910318,0.263007477,0.06564432,0.105439128,0.561319382,-0.186787215,-0.366490307,-0.290301446,-0.200986861,-0.187622488,-0.351097412,-0.336659116,0.49485549,1.268974885,-0.230877714,-0.239111123,-0.271806108,-0.28564778,-0.123545091,-0.35252931,-0.353424245,7.54E-05,-0.11775784,-0.064956632,-0.300861687,-0.366788619,0.017616103,0.21247344,-0.122888805,-0.04335885,1.117730749,-0.27962188,-0.282187362,-0.255876252,-0.303128858,-0.280994115,0.233474598,-0.330155917,-0.124559351,-0.365714696,-0.234457457,-0.133926345,-0.165249095,-0.18917371,-0.03082975,-0.215842794,-0.126349223,-0.344176576,1
-0.373930186,-0.311299706,-0.406270288,-0.401373724,5.237305321,-0.406355694,5.704557169,-0.403878943,0.771723634,-0.297008569,-0.362058863,-0.271643225,-0.374983517,-0.343269719,-0.263558199,-0.306630889,-0.371880461,-0.374698833,-0.258376951,-0.143535425,-0.199988262,-0.12263962,-0.102113903,-0.106868126,-0.324594449,1.383224865,0.749176661,-0.360123012,-0.310844212,0.086688525,0.133433638,-0.062998322,0.227806384,-0.229908551,-0.406498036,-0.151193425,0.160791771,-0.217809481,-0.398071389,-0.357987882,1.927512204,0.031374424,-0.097872112,-0.350500693,-0.370086952,-0.287158503,-0.279785187,-0.388192854,-0.385232141,-0.334444515,-0.25305336,-0.177128137,-0.37065632,-0.405786326,-0.249466341,-0.038572434,-0.194778545,-0.276425916,0.100438763,-0.348251689,-0.34093531,-0.307285662,-0.324793728,-0.364307867,1.517026345,-0.400320393,-0.172146167,-0.39431356,-0.285023373,-0.147093975,-0.339682701,-0.283201395,-0.162495379,-0.282375812,-0.036949736,-0.360350759,0
-0.338958502,-0.346319124,-0.379183008,-0.365312489,6.517368616,-0.379367948,4.706858987,-0.37459649,0.529779859,-0.291909701,-0.335333673,-0.286453963,-0.296625677,-0.320834357,-0.075696047,-0.311864755,-0.343618997,-0.350942631,-0.112517652,-0.208353693,-0.35930193,-0.106248177,-0.05636979,-0.305650762,-0.301970451,1.087522685,-0.057220515,-0.362704831,-0.291558314,0.02163801,-0.053281288,-0.02609507,0.225035304,-0.223000961,-0.379256984,-0.256826534,-0.076565266,-0.232063034,-0.373486848,-0.370546298,0.734249806,0.124964131,-0.183756639,-0.279315269,-0.339753745,-0.294609829,-0.233043217,-0.366200202,-0.362260974,-0.266239993,-0.057275997,-0.156533433,-0.338163259,-0.378646681,0.633660801,0.190673404,-0.106876974,-0.291114458,0.033529669,-0.328583354,-0.319188389,-0.314268978,-0.335851506,-0.323275568,1.665183576,-0.35456746,0.027833509,-0.303597925,-0.283106545,-0.03748739,-0.285418298,-0.275302066,-0.111999819,-0.257640271,-0.010819005,-0.353365348,0
-0.319054309,-0.36101176,-0.442477168,-0.423829412,6.309274747,-0.443306835,4.495306384,-0.431889036,0.491174885,-0.254735354,-0.382109009,-0.306253731,-0.410001627,-0.364053873,-0.056602947,-0.313799751,-0.344932021,-0.383926375,-0.167225228,-0.173506993,-0.373496274,-0.040562716,0.155870849,-0.365950255,-0.29175431,0.259381698,-0.129455621,-0.412411613,-0.339440415,0.358270116,0.214342626,0.21078691,0.793094696,-0.148893536,-0.442753724,-0.211829712,-0.107686736,-0.267219869,-0.43161248,-0.339519431,0.81257212,0.943659523,-0.16738326,-0.263664152,-0.329365886,-0.250863574,-0.189942304,-0.429953146,-0.395107127,-0.18053941,-0.116931598,-0.244305253,-0.412609152,-0.441331438,-0.154503666,-0.013776321,-0.041313367,-0.174771248,2.502129925,-0.362473554,-0.323439692,-0.278045049,-0.214792809,-0.326916392,-0.302895554,-0.434417545,0.139317015,-0.407157054,-0.220442447,-0.05751163,-0.257658943,-0.24513492,0.083650303,-0.349751992,-0.311271241,-0.38925995,0
-0.282558623,-0.285579041,-0.316031173,-0.306744512,7.660736707,-0.316121335,2.676189393,-0.314656206,0.184186221,-0.248747966,-0.296668937,-0.191855901,-0.263444332,-0.250956929,-0.123175188,-0.242662048,-0.282851648,-0.296939422,-0.209775549,-0.092339869,-0.259702619,-0.154551477,-0.133160602,-0.021157167,-0.208580906,2.087297917,-0.070994074,-0.30248437,-0.27007122,-0.09240749,0.045878095,-0.080168033,0.136603357,-0.210699707,-0.316098794,-0.214509041,0.034021825,-0.169315464,-0.306158461,-0.256389175,0.904082721,0.360181959,-0.225891962,-0.234727814,-0.294888242,-0.277013675,-0.259882942,-0.308480126,-0.309652229,-0.161989821,0.080748152,-0.054336691,-0.289072809,-0.315242257,-0.199857757,0.031316972,-0.197197985,-0.213449641,0.06929761,-0.283031972,-0.290830963,-0.273564988,-0.292341173,-0.25977024,-0.118374074,-0.288982648,-0.019601876,-0.273407205,-0.235201163,-0.241828052,-0.276833352,-0.231098803,0.23411329,-0.227469793,-0.171051077,-0.292025607,1
-0.324096419,-0.336510753,-0.402921942,-0.388845956,6.484052975,-0.403278991,5.069203509,-0.401397616,0.664065275,-0.250434381,-0.324947845,-0.241933858,-0.353745253,-0.290533775,0.00246646,-0.214660777,-0.262642724,-0.359540439,-0.248525539,-0.166074592,-0.283516381,-0.036479391,-0.065578917,-0.135656729,-0.278229303,0.136099066,-0.021373454,-0.373918544,-0.329465893,0.360477152,0.15932101,0.053950237,0.358224994,-0.268135791,-0.402990605,-0.036808975,0.231637247,-0.069767381,-0.389299134,-0.38876356,1.069220221,0.432024359,-0.082538764,-0.261901159,-0.304747088,-0.233460801,-0.228750495,-0.390480143,-0.382803581,-0.168038364,-0.08704308,-0.172968392,-0.37662388,-0.402702219,0.255381033,0.150614498,-0.18612429,-0.29292326,0.274840225,-0.295312744,-0.326128854,-0.325153835,-0.284161817,-0.344104919,-0.234614345,-0.384176848,-0.103796936,-0.367903635,-0.27892967,0.165624305,-0.283942094,-0.217887954,-0.025300998,-0.267998465,-0.148331983,-0.358277034,0
